student_id,entry_date,diary_text,ground_truth_label
101,2025-09-01,"Primeira semana do semestre, estou animado. Conheci pessoas novas no meu grupo e o projeto parece interessante. Acho que vai ser um bom período.",saudavel
102,2025-09-02,"Já estou exausto. A quantidade de leituras é absurda. Sinto que não vou dar conta, mas todo mundo parece estar bem. O problema deve ser comigo mesmo.",risco_depressao
103,2025-09-03,"Não consigo parar de pensar no prazo da semana que vem. E se o professor não gostar do meu tema? Talvez eu devesse mudar tudo. Meu estômago está revirado só de pensar nisso.",risco_ansiedade
104,2025-09-04,"Comecei a trabalhar no TCC. É muita coisa, mas estou motivado. Se eu me organizar direitinho, vai dar tudo certo.",saudavel
105,2025-09-05,"Me sinto tão para baixo hoje. A solidão bateu forte. Ao mesmo tempo, fico ansioso pensando que todos estão saindo e eu estou aqui. É uma mistura péssima de sentimentos.",risco_misto
101,2025-09-06,"A matéria de cálculo é mais difícil do que eu pensava. Fui mal na primeira prova e agora estou preocupado se vou conseguir recuperar. Preciso montar um plano de estudos.",risco_ansiedade
102,2025-09-08,"Faltei a aula de novo. Não tinha energia pra levantar. A culpa é enorme, mas a cama parecia o único lugar seguro. Eu sou um fracasso.",risco_depressao
103,2025-09-09,"Tive uma pequena crise hoje antes de apresentar o trabalho. Minhas mãos suavam e achei que ia desmaiar. Depois que passou, me senti exausto. Por que eu fico assim?",risco_ansiedade
104,2025-09-10,"Trabalhei o dia inteiro no TCC e mal avancei. Parece um esforço inútil. Pra que tudo isso? Sinto um cansaço que não passa, nem com 8 horas de sono.",risco_burnout
105,2025-09-11,"Hoje até que foi um dia bom. Consegui terminar uma tarefa e isso me deu um alívio. Talvez as coisas não sejam tão ruins assim.",saudavel
101,2025-09-12,"Saí com o pessoal da faculdade. Foi divertido, consegui relaxar um pouco e não pensar nas provas. Fez bem.",saudavel
102,2025-09-14,"Um amigo me chamou pra sair mas eu inventei uma desculpa. Não consigo socializar. Sinto que não tenho nada de interessante pra dizer. É sempre a mesma coisa, esse vazio.",risco_depressao
103,2025-09-15,"Estou constantemente checando meu email esperando a nota do trabalho. Essa espera é uma tortura. Fico imaginando os piores cenários possíveis.",risco_ansiedade
104,2025-09-16,"O orientador criticou meu trabalho. Sinceramente, perdi toda a vontade de continuar. O curso todo parece uma perda de tempo. Um esforço gigantesco para um futuro incerto.",risco_burnout
105,2025-09-17,"A ansiedade atacou forte hoje. Não sei porquê. Mas depois chorei um pouco e me senti um pouco melhor, apesar de triste. Que confusão.",risco_misto
106,2025-09-18,"A grana está curta este mês. Fico preocupado se vou conseguir pagar o aluguel. Essa pressão financeira tira meu sono.",risco_ansiedade
107,2025-09-19,"Me senti bem hoje. Participei da aula, fiz perguntas. Senti que estou no lugar certo, fazendo o que eu gosto.",saudavel
102,2025-09-20,"As pessoas dizem 'vai ficar tudo bem', mas elas não entendem. Nada está bem. Eu me sinto quebrado por dentro e não sei como consertar.",risco_depressao
104,2025-09-21,"Outro final de semana que passo trancado trabalhando. Não sinto mais prazer em nada. A faculdade virou um fardo pesado e sem propósito.",risco_burnout
103,2025-09-22,"Tenho uma entrevista de estágio amanhã. E se eu falar alguma besteira? E se eles não gostarem de mim? Já estou ensaiando as respostas mil vezes na minha cabeça.",risco_ansiedade
101,2025-09-23,"Conversei com o professor e ele me deu umas dicas para a prova. Me senti mais calmo. Acho que consigo recuperar a nota.",saudavel
105,2025-09-24,"Hoje a tristeza e a preocupação estão em uma trégua. Consegui assistir uma série e me distrair. Um dia normal, finalmente.",saudavel
106,2025-09-25,"Recebi um dinheiro extra que não esperava. Que alívio! Pelo menos uma preocupação a menos para lidar.",saudavel
107,2025-09-26,"Dia difícil. Muita pressão dos pais pra ter boas notas. Sinto que não posso decepcioná-los, e isso me deixa muito ansioso.",risco_ansiedade
102,2025-09-27,"Pensei em procurar ajuda, mas desisti. Que adiantaria? O problema sou eu. Ninguém pode mudar isso.",risco_depressao
104,2025-09-28,"Estou tão cínico com as aulas. Os professores falam, falam, e nada parece se conectar com a realidade. Sinto um distanciamento enorme de tudo e de todos.",risco_burnout
103,2025-09-29,"Sonhei que perdia o prazo do TCC. Acordei com o coração na boca. Essa preocupação não me deixa em paz nem dormindo.",risco_ansiedade
105,2025-09-30,"Sinto um medo constante de que algo ruim vai acontecer, mas ao mesmo tempo não tenho energia para fazer nada a respeito. Fico paralisado.",risco_misto
101,2025-10-01,"Semana de provas finalmente acabou. Estou exausto, mas aliviado. Agora é descansar.",saudavel
102,2025-10-02,"Mesmo com o fim das provas, a sensação de vazio continua. Eu achei que ia melhorar, mas não melhorou. Talvez nunca melhore.",risco_depressao
104,2025-10-03,"Entreguei mais um capítulo do TCC. Não senti orgulho, nem alívio. Só senti que era mais uma tarefa inútil concluída. A exaustão mental é total.",risco_burnout
103,2025-10-04,"Agora que as provas acabaram, já estou ansioso com as notas. E se eu não passei? Minha mente não para um segundo. Preciso arranjar algo pra me distrair.",risco_ansiedade
106,2025-10-05,"Briguei com meus pais por causa de dinheiro de novo. Me sinto um peso para eles, e isso me deixa muito pra baixo.",risco_misto
107,2025-10-06,"O time da faculdade ganhou o campeonato. Fui assistir e a energia do pessoal foi contagiante. Um dia feliz.",saudavel
105,2025-10-07,"Tem dias que a ansiedade grita mais alto, tem dias que é a tristeza. Hoje as duas estão aqui, conversando baixo. Eu só queria silêncio.",risco_misto
102,2025-10-08,"Tudo é um esforço. Tomar banho, comer, responder mensagens. As coisas mais simples se tornaram montanhas para escalar. Não tenho mais forças.",risco_depressao
104,2025-10-09,"Um colega veio falar do futuro, de carreira, de planos. Eu não consegui sentir nada. Nenhum pingo de animação. É como se essa parte de mim tivesse morrido.",risco_burnout
103,2025-10-10,"Fico repassando conversas antigas na minha cabeça, pensando se eu disse algo errado. Essa preocupação com a opinião dos outros é desgastante.",risco_ansiedade
101,2025-10-11,"Passei o dia organizando minhas anotações. Gosto de ver tudo em ordem, me dá uma sensação de controle e tranquilidade.",saudavel
106,2025-10-12,"Consegui um bico de final de semana. O dinheiro vai ajudar e manter a cabeça ocupada também. Tomara que dê certo.",saudavel
105,2025-10-13,"Hoje me senti sobrecarregado com tudo. A pressão para ser um bom aluno, um bom amigo, ter um futuro... É demais. A vontade é de desistir de tudo.",risco_misto
102,2025-10-14,"Olho para o futuro e não vejo nada. Um borrão escuro. Essa falta de perspectiva é assustadora e paralisante.",risco_depressao
107,2025-10-15,"Assisti a um documentário que me inspirou muito. Me deu várias ideias para projetos futuros. Adoro essa sensação de criatividade.",saudavel
104,2025-10-16,"Hoje me perguntei por que escolhi este curso. Todo o encanto do começo se foi. Agora é só uma obrigação que eu preciso terminar logo para poder respirar.",risco_burnout
103,2025-10-17,"Estou com uma dor de cabeça que não passa. Meu corpo todo está tenso. Sei que é porque estou preocupado com a viagem do final de semana. E se o carro estragar?",risco_ansiedade
101,2025-10-18,"Viajei com amigos no final de semana. Foi incrível, demos muita risada. Voltei com as energias recarregadas.",saudavel
102,2025-10-19,"As pessoas se divertem, seguem em frente. Eu me sinto preso no mesmo lugar, assistindo a vida passar pela janela. Uma tristeza profunda que não tem nome.",risco_depressao
105,2025-10-20,"Sinto meu peito apertado e uma vontade de chorar sem motivo. É uma angústia que vem do nada e me deixa sem chão. Tento entender o porquê, mas não consigo.",risco_misto
104,2025-10-21,"O professor elogiou meu trabalho na frente da turma. Eu deveria ter ficado feliz, mas não senti nada. Foi como se ele estivesse falando de outra pessoa. Estou apático.",risco_burnout
103,2025-10-22,"Minha mãe me ligou e pareceu preocupada. Agora estou preocupado que ela esteja preocupada. Não quero ser um fardo para minha família.",risco_ansiedade
201,2025-09-05,"Início de semestre, gás total. Criei um cronograma de estudos e estou conseguindo seguir. As matérias parecem difíceis, mas estou confiante.",saudavel
202,2025-09-06,"Me sinto horrível. Não queria ter vindo pra faculdade hoje. Parece que todo mundo tem amigos e eu sou invisível. A saudade de casa está me matando.",risco_depressao
203,2025-09-07,"Comecei bem a semana, mas um professor marcou uma prova surpresa. Agora estou em pânico total, achando que não vou dar conta de estudar tudo a tempo. Minha cabeça não para.",risco_ansiedade
204,2025-09-08,"Que semana! Prova, trabalho, seminário. É muita pressão, mas faz parte. No fim de semana eu compenso e relaxo.",saudavel
201,2025-09-15,"O cronograma já foi pro espaço. Perdi um prazo e agora estou correndo atrás. A sensação de estar sempre atrasado é péssima, fico preocupado com as consequências disso.",risco_ansiedade
202,2025-09-16,"Conversei com a psicóloga da faculdade hoje. Foi difícil, chorei bastante, mas foi bom falar. Ela me passou umas tarefas. Estou com medo de não funcionar, mas é uma luz.",risco_misto
203,2025-09-17,"A prova foi um desastre. Eu sabia a matéria, mas na hora me deu um branco. Fiquei tão nervosa que não lembrava de nada. Agora a tristeza bateu forte, me sinto uma completa idiota.",risco_misto
204,2025-09-18,"A apresentação do seminário foi ótima. Me senti super bem, recebi elogios. É bom ver o esforço dando resultado.",saudavel
201,2025-09-25,"Não aguento mais. Passo o dia na frente do computador, as aulas parecem todas iguais, os trabalhos não têm fim. Não sinto mais nenhuma empolgação, só um cansaço infinito.",risco_burnout
202,2025-09-26,"Fiz uma das tarefas que a psicóloga passou: caminhar por 30 minutos ouvindo música. No começo foi um esforço, mas depois me senti um pouco mais leve. Um passinho de cada vez.",saudavel
203,2025-09-27,"Depois da prova, perdi a vontade de ir pra aula. Para quê? Eu sempre estrago tudo na hora H. É um sentimento horrível de incapacidade, de que não importa o quanto eu estude.",risco_depressao
204,2025-10-01,"Estou bem, mas a rotina está pesada. Às vezes a ansiedade bate quando penso em tudo que ainda falta fazer, mas estou tentando manter o equilíbrio.",risco_ansiedade
201,2025-10-05,"Hoje um veterano fez uma piada sobre como nosso curso 'suga a alma'. Pior que eu nem consegui rir, porque é exatamente como eu me sinto. Um zumbi apático. Não vejo a hora de acabar.",risco_burnout
202,2025-10-06,"Comecei a frequentar um grupo de estudos. Fiquei ansioso no começo, mas o pessoal é legal. Explicar a matéria para um colega me fez sentir útil de novo.",saudavel
203,2025-10-07,"Meus pais ligaram pra saber as notas. Menti, disse que estava tudo bem. A culpa e a vergonha estão me corroendo. Me sinto a pior filha do mundo.",risco_depressao
204,2025-10-08,"Semana de provas de novo. Lá vem a ansiedade. Mas acho que estou lidando um pouco melhor desta vez. Organizei os estudos e estou tentando não pensar no pior.",risco_ansiedade
201,2025-10-15,"Entreguei o último trabalho do bimestre. Não senti nada. Nem alívio. Só um vazio. O esgotamento é tão grande que não sobrou espaço para outros sentimentos.",risco_burnout
202,2025-10-16,"Hoje tive um dia genuinamente bom. Ri com meus novos amigos do grupo de estudos e até me ofereci para ajudar em um projeto. A sensação de vazio parece estar diminuindo.",saudavel
203,2025-10-17,"Passei o dia no quarto, no escuro. Não respondi ninguém. O mundo lá fora parece muito barulhento e complicado. Aqui dentro, pelo menos, só tem a minha tristeza.",risco_depressao
204,2025-10-18,"As provas foram difíceis, mas sobrevivi. Agora estou só o pó da rabiola. Preciso de uns dias sem pensar em faculdade pra recarregar.",risco_burnout
